x,y,z
-6.842643876046655693e-01,-2.141388460342519839e-01,-3.389919991096452256e-01
-5.642123327364177987e-01,-1.727056586566361462e-01,-3.212149269344976021e-01
-5.896482258922798314e-01,-1.727707282555160651e-01,-3.177985304751837492e-01
-6.123503699934670363e-01,-1.782169111975354381e-01,-3.152970940354622442e-01
-6.209739601871204773e-01,-1.805005120182379408e-01,-3.142349874790762443e-01
-6.920257387257324755e-01,-1.948176254277823871e-01,-2.781616137791918519e-01
-7.151250609622548104e-01,-1.981817436986516023e-01,-2.740675127111575904e-01
-6.882590627298017516e-01,-1.905124543791369141e-01,-3.104028380357499728e-01
-7.118782478511366252e-01,-1.926174184943130752e-01,-3.101019586735502820e-01
-7.324224878016468709e-01,-1.994303773131517188e-01,-3.112329110699673662e-01
-7.570487023466129228e-01,-2.037785386391642861e-01,-3.115941982063201721e-01
-7.760850030832924240e-01,-2.047490724757511649e-01,-3.138070550861201125e-01
-8.011934231354118641e-01,-2.093332546888751200e-01,-3.151542116922496639e-01
-8.169826058680487169e-01,-2.138563078563513464e-01,-3.177690518322482394e-01
-8.369298781946252763e-01,-2.195901400006261550e-01,-3.192136024009195605e-01
-8.532133348585101418e-01,-2.196108188786534687e-01,-3.227729483469347072e-01
-8.689110749421893320e-01,-2.217653406363747637e-01,-3.250079234219109270e-01
-8.831557417564956936e-01,-2.253790046542359371e-01,-3.274922957000034884e-01
-9.013015940510167301e-01,-2.291007768802207079e-01,-3.294685206632579355e-01
-9.105476011992394980e-01,-2.305583255341757398e-01,-3.322175423948007245e-01
-9.743339286258987375e-01,-2.503253326948599589e-01,-2.339175232933697335e-01
-9.386433329715915264e-01,-2.394515122280026220e-01,-3.363326635817424637e-01
-9.511891354863142301e-01,-2.387341190252728063e-01,-3.380014873997418401e-01
-9.919086432487422833e-01,-2.396293288276960531e-01,-3.252728838835675651e-01
-9.742992485453385587e-01,-2.376930468843986843e-01,-3.424247425811451917e-01
-9.767773269928879953e-01,-2.420778925700541873e-01,-3.456590738053572087e-01
-9.798060328964772747e-01,-2.435640164921450412e-01,-3.488414563435394689e-01
-9.965065502106925655e-01,-2.465178832732316250e-01,-3.495397132330192447e-01
-9.936937704269479532e-01,-2.469930748625389638e-01,-3.533695795688501229e-01
-1.004542944200367272e+00,-2.499608282196007225e-01,-3.540915765521464031e-01
-9.500415762679138565e-01,-2.348765500202207313e-01,-3.503054134042858925e-01
-1.016869635072247480e+00,-2.514434965748732487e-01,-3.583197077455241852e-01
-1.045527837474357291e+00,-2.593777073166284586e-01,-3.487223317098377406e-01
-9.612184620782093791e-01,-2.312170443771351946e-01,-3.551749376385924251e-01
-1.025738518207424788e+00,-2.532522677035469183e-01,-3.648386751504651415e-01
-1.036958219527836178e+00,-2.493537348508505502e-01,-3.646714135647384225e-01
-1.061167172880022047e+00,-2.548163298966875656e-01,-3.561256791529566201e-01
-1.077685725721089893e+00,-2.686232531811123536e-01,-2.504424934217292509e-01
-1.060804188974683759e+00,-2.436033248424631092e-01,-3.612655730640152996e-01
-1.038301311223581047e+00,-2.563265187375964316e-01,-3.734574075363670254e-01
-1.095728218510380048e+00,-2.273904100126020733e-01,-2.991522394364602433e-01
-9.858205577350872550e-01,-2.413745790703424043e-01,-3.757590348096910837e-01
-1.076958867864532987e+00,-2.651746541414494174e-01,-2.503428938362093348e-01
-1.029459528360014531e+00,-2.335292082359708976e-01,-4.601689317343892194e-01
-1.379344748309970559e+00,-2.738742976667359885e-01,-4.856203213758384374e-01
-1.384079853060705689e+00,-2.760180349609301365e-01,-4.852202765550058250e-01
-1.383621052701239140e+00,-2.757578210696830512e-01,-4.872597587051518686e-01
-1.379772886424113665e+00,-2.770824718402383757e-01,-4.903565904663861330e-01
